age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,was_contacted_before,xac_suat_dong_y
39,management,married,tertiary,no,2939,no,no,cellular,29,jun,1,165,2,success,1,0.7475
56,blue-collar,married,primary,no,1137,no,no,telephone,12,oct,3,102,1,success,1,0.7475
44,technician,single,unknown,no,11115,no,no,cellular,25,oct,1,185,4,success,1,0.7475
37,services,single,secondary,no,1045,no,no,cellular,4,jun,1,79,3,success,1,0.7475
61,self-employed,married,tertiary,no,10861,no,no,cellular,26,jul,2,259,3,success,1,0.7475
37,technician,married,tertiary,no,341,no,no,cellular,13,aug,3,182,3,success,1,0.745
33,technician,married,tertiary,no,4401,no,no,cellular,30,apr,1,-1,0,unknown,1,0.745
67,retired,divorced,secondary,no,704,no,no,cellular,6,may,1,87,3,success,1,0.745
26,technician,single,secondary,no,1231,yes,no,cellular,4,sep,1,93,7,success,1,0.745
27,services,single,secondary,no,302,no,no,cellular,8,jan,1,189,1,success,1,0.7425
45,admin.,married,secondary,no,205,no,no,cellular,3,feb,1,92,1,success,1,0.74
83,retired,married,primary,no,425,no,no,telephone,22,sep,1,92,2,success,1,0.74
27,blue-collar,single,secondary,no,535,no,no,cellular,16,aug,3,95,4,success,1,0.74
53,management,married,tertiary,no,1624,no,no,cellular,30,apr,3,84,3,success,1,0.74
24,management,single,tertiary,no,1506,no,no,cellular,12,jun,2,95,4,success,1,0.7375
41,admin.,married,secondary,no,1021,no,no,cellular,2,jun,1,-1,0,unknown,1,0.7375
43,technician,married,secondary,no,1358,no,no,cellular,10,mar,3,-1,0,unknown,1,0.735
68,retired,married,secondary,no,1146,no,no,cellular,13,may,1,71,5,success,1,0.735
28,management,single,tertiary,no,6551,no,no,cellular,23,sep,1,-1,0,unknown,1,0.735
60,blue-collar,married,primary,no,5,no,no,cellular,29,jan,1,92,1,success,1,0.735
34,blue-collar,married,secondary,no,320,yes,no,cellular,12,nov,1,92,3,success,1,0.7325
36,technician,single,tertiary,no,197,no,no,cellular,30,apr,1,-1,0,unknown,1,0.7325
77,retired,married,secondary,no,4112,no,no,telephone,26,jan,1,95,2,success,1,0.7325
42,management,married,tertiary,no,27696,no,no,cellular,11,aug,1,91,7,success,1,0.7275
61,admin.,married,unknown,no,4629,yes,no,cellular,27,jan,1,92,1,success,1,0.725
74,retired,married,secondary,no,935,no,no,cellular,25,oct,1,173,3,success,1,0.7225
37,technician,single,tertiary,no,197,no,no,cellular,15,feb,1,91,2,success,1,0.7225
41,technician,single,tertiary,no,1646,yes,no,cellular,5,may,1,90,7,success,1,0.72
61,retired,married,secondary,no,11,no,no,cellular,29,sep,1,92,3,success,1,0.72
45,management,married,tertiary,no,242,no,no,cellular,30,apr,1,-1,0,unknown,1,0.7175
79,retired,divorced,primary,no,2787,no,no,telephone,13,jul,1,377,1,success,1,0.7125
27,student,single,tertiary,no,1134,no,no,cellular,21,oct,1,183,4,success,1,0.7125
38,blue-collar,single,secondary,no,0,no,no,cellular,27,jan,1,92,4,success,1,0.7125
54,technician,married,secondary,no,3994,no,yes,cellular,20,oct,2,187,2,success,1,0.71
53,admin.,married,secondary,no,1796,no,no,telephone,16,mar,1,91,2,success,1,0.71
29,housemaid,single,tertiary,no,19,no,no,cellular,5,feb,2,64,2,success,1,0.71
53,management,married,tertiary,no,1061,no,no,cellular,8,jun,2,-1,0,unknown,1,0.7072020155938952
27,services,married,secondary,no,0,yes,no,cellular,23,jul,13,-1,0,unknown,1,0.705
48,housemaid,married,tertiary,no,5473,no,no,cellular,24,feb,2,184,2,success,1,0.705
55,admin.,married,secondary,no,1633,no,no,cellular,11,jan,1,192,2,success,1,0.7025
49,admin.,single,tertiary,no,228,yes,no,cellular,3,sep,2,93,2,success,1,0.7
24,student,single,secondary,no,689,no,no,cellular,8,sep,1,-1,0,unknown,1,0.7
44,self-employed,married,unknown,no,163,yes,no,cellular,12,aug,1,100,3,success,1,0.7
57,housemaid,married,tertiary,no,2326,no,no,cellular,28,oct,1,194,1,success,1,0.7
30,student,single,secondary,no,314,no,no,cellular,29,jun,1,204,6,success,1,0.7
36,management,single,tertiary,no,5958,yes,no,cellular,22,sep,1,184,1,success,1,0.6975
60,admin.,married,secondary,no,12980,no,no,cellular,3,sep,2,182,1,success,1,0.6975
32,blue-collar,married,secondary,no,889,yes,no,cellular,10,sep,1,99,5,success,1,0.6975
35,self-employed,single,tertiary,no,353,no,no,cellular,11,feb,1,183,1,success,1,0.695
38,technician,married,tertiary,no,3234,no,no,cellular,8,apr,1,141,2,success,1,0.695
54,technician,married,tertiary,no,876,no,no,cellular,27,oct,3,541,3,success,1,0.6925
44,technician,divorced,secondary,no,14,no,no,cellular,13,nov,1,92,1,success,1,0.6925
34,management,married,tertiary,no,2599,no,no,cellular,16,nov,1,200,2,success,1,0.6925
34,management,married,tertiary,no,1778,no,no,cellular,5,feb,1,93,3,success,1,0.6925
68,retired,married,secondary,no,1443,no,no,telephone,21,dec,2,257,1,success,1,0.6925
46,admin.,divorced,primary,no,429,yes,no,cellular,26,apr,2,369,2,success,1,0.69
35,technician,married,secondary,no,2779,no,no,cellular,26,apr,2,186,2,success,1,0.69
56,services,married,secondary,no,1989,no,no,cellular,3,aug,4,181,4,success,1,0.6875
29,management,single,tertiary,no,265,no,no,cellular,24,aug,2,94,1,success,1,0.6875
35,management,married,tertiary,no,0,yes,no,cellular,11,feb,2,92,5,success,1,0.685
49,management,married,tertiary,no,1093,yes,yes,cellular,15,sep,1,246,4,success,1,0.6825
24,blue-collar,married,secondary,no,272,no,no,cellular,16,nov,2,94,2,success,1,0.6825
46,self-employed,single,secondary,no,526,no,no,cellular,4,aug,1,96,3,success,1,0.6775
27,blue-collar,single,tertiary,no,644,no,no,cellular,2,jun,1,182,1,success,1,0.6775
66,retired,married,tertiary,no,2820,no,no,cellular,5,mar,2,-1,0,unknown,1,0.6775
37,technician,married,secondary,no,1458,no,no,cellular,22,mar,1,326,1,success,1,0.6775
54,blue-collar,divorced,primary,no,4401,no,no,telephone,13,may,1,183,2,success,1,0.6775
32,technician,single,tertiary,no,5514,no,no,cellular,22,apr,1,182,1,success,1,0.6775
40,admin.,married,secondary,no,4775,no,no,cellular,15,sep,1,-1,0,unknown,1,0.675
76,retired,divorced,primary,no,2693,no,no,cellular,23,apr,5,184,2,success,1,0.6725
61,management,married,tertiary,no,13546,no,no,cellular,25,jan,2,283,3,success,1,0.6725
48,management,married,tertiary,no,2351,no,no,cellular,15,sep,1,105,3,success,1,0.6725
26,services,single,tertiary,no,12,no,no,cellular,15,dec,4,186,6,success,1,0.6725
45,technician,married,tertiary,no,5110,no,no,cellular,22,apr,2,-1,0,unknown,1,0.6725
29,management,single,tertiary,no,2753,no,no,cellular,30,apr,1,-1,0,unknown,1,0.67
68,retired,married,secondary,no,1146,no,no,cellular,3,mar,2,110,3,success,1,0.67
58,technician,married,secondary,no,589,yes,no,cellular,10,feb,3,183,6,success,1,0.67
57,management,married,tertiary,no,1227,no,no,cellular,5,jun,1,-1,0,unknown,1,0.6675
25,student,single,secondary,no,304,no,no,cellular,30,nov,1,188,2,success,1,0.6675
26,technician,single,secondary,no,181,no,no,cellular,20,apr,2,-1,0,unknown,1,0.6675
34,technician,single,secondary,no,2085,no,no,cellular,10,aug,3,182,2,success,1,0.6675
56,technician,married,secondary,no,1938,no,yes,cellular,26,feb,1,192,4,success,1,0.665
42,blue-collar,married,secondary,no,413,yes,no,cellular,11,feb,2,184,2,success,1,0.665
28,management,single,tertiary,no,616,yes,no,cellular,7,oct,1,503,2,success,1,0.6625
54,management,married,tertiary,no,8295,no,no,cellular,2,oct,2,119,1,success,1,0.6625
30,self-employed,married,tertiary,no,2666,no,no,cellular,5,aug,2,93,4,success,1,0.66
29,management,single,tertiary,no,874,yes,no,cellular,16,sep,1,103,1,success,1,0.66
33,student,married,secondary,no,1536,no,no,cellular,6,aug,2,178,4,success,1,0.66
37,management,married,tertiary,no,393,yes,no,cellular,12,aug,2,104,2,success,1,0.655
21,blue-collar,single,secondary,no,682,no,no,cellular,6,mar,1,-1,0,unknown,1,0.655
36,blue-collar,married,secondary,no,1828,yes,no,telephone,17,oct,1,-1,0,unknown,1,0.6525
56,retired,married,tertiary,no,281,no,no,cellular,25,may,1,83,2,success,1,0.6525
47,admin.,married,secondary,no,3676,no,no,cellular,18,oct,1,95,3,success,1,0.6525
42,unemployed,married,secondary,no,1289,no,no,cellular,15,oct,3,92,6,success,1,0.65
32,management,married,tertiary,no,628,no,no,cellular,30,apr,1,-1,0,unknown,1,0.65
44,management,single,tertiary,no,483,no,no,cellular,6,mar,2,199,6,success,1,0.65
32,blue-collar,married,secondary,no,136,no,no,cellular,16,nov,1,188,3,success,1,0.6475
59,management,divorced,tertiary,no,258,yes,no,telephone,29,oct,1,-1,0,unknown,1,0.6475
73,retired,married,primary,no,1388,no,no,cellular,20,jul,3,190,3,success,1,0.6475
56,management,married,primary,no,870,no,no,cellular,14,may,1,179,1,success,1,0.6475
24,admin.,single,tertiary,no,0,yes,no,cellular,7,sep,1,103,2,success,1,0.645
38,blue-collar,single,secondary,no,0,no,no,cellular,30,apr,1,-1,0,unknown,1,0.645
37,management,married,tertiary,no,57,no,no,cellular,30,apr,2,84,1,success,1,0.645
41,management,single,tertiary,no,6116,no,no,cellular,7,sep,1,-1,0,unknown,1,0.645
25,blue-collar,single,secondary,no,1857,yes,no,cellular,12,oct,1,91,12,success,1,0.6425
39,management,divorced,tertiary,no,224,no,no,cellular,2,jul,2,88,1,success,1,0.6425
24,admin.,single,secondary,no,1295,no,no,cellular,22,jul,2,92,1,success,1,0.6425
49,technician,married,tertiary,no,2611,no,no,cellular,20,apr,2,-1,0,unknown,1,0.6425
25,services,single,secondary,no,505,no,no,cellular,15,jun,1,-1,0,unknown,1,0.6425
29,admin.,single,secondary,no,464,no,no,cellular,9,nov,2,91,3,success,1,0.64
63,housemaid,married,secondary,no,2,no,no,cellular,4,feb,2,93,1,success,1,0.64
37,admin.,single,tertiary,no,1000,yes,no,cellular,17,mar,1,-1,0,unknown,1,0.64
55,housemaid,married,secondary,no,962,yes,no,cellular,28,apr,1,181,3,success,1,0.6375
27,admin.,married,tertiary,no,2855,no,no,cellular,22,jul,2,178,4,success,1,0.6375
33,services,married,secondary,no,1697,no,no,cellular,4,may,1,182,1,success,1,0.6375
30,student,single,secondary,no,0,no,no,cellular,20,apr,1,-1,0,unknown,1,0.6375
59,technician,married,secondary,no,259,no,no,cellular,18,mar,1,-1,0,unknown,1,0.635
36,technician,divorced,tertiary,no,1381,no,no,cellular,2,mar,1,-1,0,unknown,1,0.635
31,management,single,secondary,no,2317,no,no,cellular,16,apr,2,-1,0,unknown,1,0.63
33,technician,married,tertiary,no,1699,no,no,cellular,6,nov,2,94,1,success,1,0.63
76,housemaid,divorced,primary,no,1411,no,no,telephone,19,oct,2,187,3,success,1,0.63
51,management,single,tertiary,no,151,yes,no,cellular,8,sep,1,427,3,success,1,0.625
28,admin.,single,secondary,no,127,no,no,cellular,16,sep,2,-1,0,unknown,1,0.625
33,admin.,single,tertiary,no,272,yes,no,cellular,1,sep,2,92,3,success,1,0.625
30,management,single,tertiary,no,596,no,no,cellular,4,jun,2,-1,0,unknown,1,0.6225
83,retired,married,tertiary,no,4761,no,no,telephone,8,mar,1,-1,0,unknown,1,0.6225
31,management,single,tertiary,no,1619,no,no,cellular,30,apr,2,-1,0,unknown,1,0.6225
41,self-employed,single,tertiary,no,1616,no,no,telephone,28,jan,1,184,7,success,1,0.62
38,technician,single,secondary,no,1130,no,no,cellular,4,jun,2,98,1,success,1,0.62
46,admin.,single,secondary,no,1693,yes,no,cellular,25,jan,1,97,1,success,1,0.62
31,management,single,tertiary,no,2016,no,no,cellular,30,apr,1,-1,0,unknown,1,0.6175
34,blue-collar,married,secondary,no,262,no,no,cellular,15,sep,2,106,1,success,1,0.615
49,management,divorced,tertiary,no,5223,no,no,cellular,4,aug,1,-1,0,unknown,1,0.615
32,management,single,tertiary,no,2069,no,no,cellular,22,apr,1,-1,0,unknown,1,0.615
22,student,single,tertiary,no,691,no,no,cellular,30,nov,5,103,1,success,1,0.6125
32,admin.,single,tertiary,no,8866,no,no,cellular,9,jun,2,83,2,success,1,0.6125
63,retired,married,secondary,no,708,no,no,cellular,17,nov,2,-1,0,unknown,1,0.61
24,management,single,tertiary,no,1030,no,no,cellular,4,mar,2,-1,0,unknown,1,0.61
31,unemployed,single,tertiary,no,302,no,no,cellular,3,feb,1,357,3,success,1,0.6075
50,housemaid,married,secondary,no,388,no,no,cellular,8,jun,2,89,2,success,1,0.6075
54,housemaid,married,tertiary,no,2473,no,no,cellular,5,mar,2,-1,0,unknown,1,0.6075
59,management,married,tertiary,no,2239,no,no,cellular,20,aug,6,90,1,success,1,0.605
34,management,married,tertiary,no,4859,no,no,cellular,30,apr,1,37,1,other,1,0.605
62,retired,married,secondary,no,569,no,no,cellular,4,aug,1,1,8,success,1,0.605
83,retired,married,tertiary,no,4761,no,no,telephone,9,jun,2,93,1,success,1,0.605
31,management,married,tertiary,no,2395,no,no,cellular,27,apr,1,-1,0,unknown,1,0.6025
45,technician,single,tertiary,no,2033,no,no,cellular,15,jun,5,285,2,success,1,0.6025
37,technician,married,unknown,no,189,no,no,cellular,1,oct,1,107,2,success,1,0.6
56,retired,married,primary,no,9367,no,no,cellular,13,aug,2,101,2,success,1,0.6
40,admin.,married,secondary,no,0,no,no,cellular,28,jul,2,182,11,success,1,0.6
25,student,single,tertiary,no,293,no,no,cellular,12,apr,1,-1,0,unknown,1,0.5975
47,technician,married,tertiary,no,2408,no,no,cellular,30,apr,1,-1,0,unknown,1,0.5975
48,admin.,married,secondary,no,368,no,no,cellular,8,oct,2,140,7,success,1,0.5975
28,management,single,tertiary,no,2380,no,no,cellular,14,sep,2,-1,0,unknown,1,0.595
78,retired,married,unknown,no,4807,no,no,telephone,3,feb,2,104,4,success,1,0.5925
68,retired,married,secondary,no,20723,yes,no,cellular,28,apr,2,-1,0,unknown,1,0.5925
35,management,married,tertiary,no,0,yes,no,cellular,11,nov,2,96,3,success,1,0.5925
74,retired,divorced,primary,no,2308,no,no,telephone,16,sep,2,535,2,success,1,0.59
64,technician,married,tertiary,no,1319,no,no,cellular,12,mar,2,-1,0,unknown,1,0.59
25,management,single,tertiary,no,316,no,no,cellular,27,mar,2,-1,0,unknown,1,0.5875
38,management,married,tertiary,no,1198,yes,no,cellular,2,feb,1,-1,0,unknown,1,0.585
75,retired,married,secondary,no,291,no,no,cellular,12,aug,1,182,2,success,1,0.585
31,technician,married,secondary,no,477,no,no,cellular,30,apr,1,-1,0,unknown,1,0.585
37,technician,single,tertiary,no,197,no,no,cellular,13,may,1,87,3,success,1,0.5825
36,blue-collar,married,primary,no,1177,no,no,cellular,15,apr,1,311,4,success,1,0.5825
35,management,married,tertiary,no,1432,yes,no,cellular,5,may,3,-1,0,unknown,1,0.5825
44,admin.,married,secondary,no,132,no,no,cellular,21,dec,5,124,4,success,1,0.5825
55,admin.,divorced,secondary,no,1693,no,no,cellular,10,aug,1,102,3,success,1,0.5825
43,admin.,married,secondary,no,132,no,no,cellular,27,may,2,71,1,success,1,0.58
77,retired,divorced,secondary,no,0,no,no,cellular,25,sep,1,-1,0,unknown,1,0.58
47,technician,married,secondary,no,57,no,no,cellular,5,may,1,342,1,success,1,0.58
29,technician,single,secondary,no,1165,no,no,cellular,2,jun,1,-1,0,unknown,1,0.58
29,management,single,secondary,no,703,yes,no,cellular,16,nov,1,550,2,success,1,0.58
51,management,married,tertiary,no,2814,no,no,cellular,3,feb,1,-1,0,unknown,1,0.58
25,student,single,unknown,no,2503,no,no,cellular,26,feb,2,-1,0,unknown,1,0.5775
49,management,married,tertiary,no,1,no,no,telephone,13,aug,2,101,4,success,1,0.5775
28,blue-collar,single,secondary,no,-46,yes,no,cellular,1,jun,2,91,12,success,1,0.5775
36,admin.,divorced,secondary,no,1224,yes,no,cellular,12,nov,1,374,1,success,1,0.575
29,technician,single,secondary,no,113,no,no,cellular,12,feb,2,183,4,success,1,0.575
63,retired,married,tertiary,no,1795,no,no,cellular,7,sep,1,-1,0,unknown,1,0.5725
38,technician,divorced,secondary,no,902,yes,no,cellular,14,aug,1,102,4,success,1,0.5725
28,technician,single,tertiary,no,356,no,no,cellular,2,mar,2,-1,0,unknown,1,0.5725
36,management,married,tertiary,no,82,no,no,cellular,2,feb,1,178,4,success,1,0.5725
23,technician,single,secondary,no,283,yes,no,cellular,22,sep,1,184,2,success,1,0.57
34,management,married,tertiary,no,3402,no,no,cellular,3,jun,2,-1,0,unknown,1,0.5697020155938951
38,unemployed,married,tertiary,no,2812,yes,no,cellular,3,nov,1,187,1,success,1,0.5675
53,management,married,tertiary,no,3634,no,no,cellular,7,may,4,88,8,success,1,0.565
48,blue-collar,married,secondary,no,1230,yes,no,cellular,13,may,2,182,3,success,1,0.565
38,technician,married,secondary,no,6728,no,no,cellular,25,nov,1,96,4,success,1,0.565
87,retired,married,secondary,no,433,no,no,telephone,15,dec,1,-1,0,unknown,1,0.5625
26,student,single,secondary,no,620,no,no,cellular,17,feb,1,-1,0,unknown,1,0.5625
24,technician,single,secondary,no,598,no,no,cellular,12,may,1,182,2,success,1,0.56
48,technician,married,secondary,no,2111,no,no,cellular,20,apr,1,-1,0,unknown,1,0.56
52,technician,married,secondary,no,5303,yes,no,unknown,19,oct,1,-1,0,unknown,1,0.56
30,management,single,secondary,no,8101,yes,no,cellular,21,nov,1,-1,0,unknown,1,0.56
35,services,married,unknown,no,618,no,no,cellular,12,aug,1,104,1,success,1,0.5575
64,retired,married,primary,no,48,no,no,cellular,9,sep,3,92,1,success,1,0.5575
27,unemployed,single,tertiary,no,77,no,no,cellular,12,jul,4,77,1,success,1,0.5575
30,admin.,married,secondary,no,873,yes,no,telephone,12,nov,1,167,3,success,1,0.5575
38,technician,married,secondary,no,4539,no,no,cellular,16,sep,1,-1,0,unknown,1,0.5575
28,self-employed,single,tertiary,no,159,no,no,cellular,16,nov,2,33,4,success,1,0.555
32,management,single,tertiary,no,718,yes,no,cellular,29,dec,1,197,1,success,1,0.555
30,management,married,tertiary,no,314,no,no,cellular,19,nov,2,175,2,success,1,0.555
27,services,single,secondary,no,453,no,no,cellular,19,apr,2,-1,0,unknown,1,0.555
34,management,married,tertiary,no,611,no,no,cellular,2,jun,1,-1,0,unknown,1,0.555
43,services,married,primary,no,2557,yes,no,telephone,15,oct,3,183,5,success,1,0.5525
24,technician,single,secondary,no,139,no,no,cellular,14,apr,1,-1,0,unknown,1,0.55
27,student,single,secondary,no,1164,no,no,cellular,21,oct,2,104,2,failure,1,0.55
63,management,married,tertiary,no,2785,no,no,cellular,2,aug,2,392,3,success,1,0.55
31,admin.,married,secondary,no,4457,yes,no,cellular,16,apr,1,146,4,success,1,0.55
37,management,single,tertiary,no,62,yes,no,cellular,2,aug,2,272,8,success,1,0.55
32,admin.,married,secondary,no,35,no,no,cellular,17,dec,3,126,3,success,1,0.5475
58,technician,married,secondary,no,3399,no,no,cellular,26,may,1,97,7,other,1,0.5475
60,retired,divorced,secondary,no,4243,no,no,cellular,30,oct,2,-1,0,unknown,1,0.5475
60,self-employed,married,primary,no,362,no,yes,cellular,28,jan,1,183,6,success,1,0.5475
70,retired,married,primary,no,2346,no,no,cellular,24,aug,3,194,2,success,1,0.5475
64,management,married,tertiary,no,4688,no,no,cellular,21,oct,1,-1,0,unknown,1,0.5475
86,retired,married,primary,no,1817,no,no,cellular,16,mar,3,-1,0,unknown,1,0.5475
50,technician,married,tertiary,no,2611,no,no,cellular,12,may,1,387,2,success,1,0.5475
49,technician,married,secondary,no,307,no,no,cellular,9,dec,1,-1,0,unknown,1,0.5425
55,technician,married,secondary,no,0,yes,yes,cellular,27,oct,1,-1,0,unknown,1,0.5425
57,technician,married,secondary,no,3858,no,no,cellular,27,mar,1,-1,0,unknown,1,0.5425
40,management,married,tertiary,no,2763,yes,no,cellular,2,jul,1,395,2,success,1,0.54
78,retired,divorced,unknown,no,2628,no,no,telephone,14,apr,2,-1,0,unknown,1,0.54
49,entrepreneur,single,secondary,no,5802,no,no,cellular,12,aug,3,104,2,success,1,0.54
35,technician,married,secondary,no,1368,no,no,cellular,13,aug,2,78,3,success,1,0.5375
37,self-employed,single,tertiary,no,1758,no,no,cellular,8,jun,2,-1,0,unknown,1,0.5372020155938951
30,unknown,single,tertiary,no,6836,no,no,cellular,27,feb,3,-1,0,unknown,1,0.535
28,unemployed,single,secondary,no,304,no,no,cellular,14,jun,1,-1,0,unknown,1,0.535
48,management,single,tertiary,no,5689,no,no,cellular,26,may,2,103,1,success,1,0.535
24,student,single,primary,no,474,no,no,cellular,12,aug,1,104,1,success,1,0.535
80,retired,married,primary,no,1861,no,no,telephone,14,apr,2,-1,0,unknown,1,0.535
33,technician,married,secondary,no,183,no,no,cellular,16,jul,2,182,3,other,1,0.5325
25,self-employed,single,tertiary,no,42,yes,no,cellular,3,mar,1,-1,0,unknown,1,0.5325
32,management,single,tertiary,no,2667,yes,no,cellular,19,nov,1,99,2,success,1,0.5325
38,management,married,tertiary,no,1988,yes,no,cellular,4,jun,1,79,4,other,1,0.5325
