StockCode,Description,cum,ten_cum
17084R,ASSORTED INCENSE PACK,2,"Hang theo mua, dot bien, so luong lon"
17090A,LAVENDER INCENSE 40 CONES IN TIN,2,"Hang theo mua, dot bien, so luong lon"
17090D,VANILLA INCENSE 40 CONES IN TIN,1,"Hang cao cap, gia tri cao, it lap lai"
17091A,LAVENDER INCENSE IN TIN,2,"Hang theo mua, dot bien, so luong lon"
17091J,VANILLA INCENSE IN TIN,2,"Hang theo mua, dot bien, so luong lon"
17096,ASSORTED LAQUERED INCENSE HOLDERS,2,"Hang theo mua, dot bien, so luong lon"
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",0,"Hang ban chay, gia thap, mua thuong xuyen"
17109D,FLOWER FAIRY INCENSE BOUQUET,1,"Hang cao cap, gia tri cao, it lap lai"
17129F,BLUE GLASS GEMS IN BAG,2,"Hang theo mua, dot bien, so luong lon"
17136A,BLUE STONES ON WIRE FOR CANDLE,2,"Hang theo mua, dot bien, so luong lon"
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,1,"Hang cao cap, gia tri cao, it lap lai"
17165D,ASS COL LARGE SAND FROG P'WEIGHT,1,"Hang cao cap, gia tri cao, it lap lai"
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,2,"Hang theo mua, dot bien, so luong lon"
18094C,WHITE AND BLUE CERAMIC OIL BURNER,2,"Hang theo mua, dot bien, so luong lon"
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,2,"Hang theo mua, dot bien, so luong lon"
18098C,PORCELAIN BUTTERFLY OIL BURNER,0,"Hang ban chay, gia thap, mua thuong xuyen"
18098c,PORCELAIN BUTTERFLY OIL BURNER,1,"Hang cao cap, gia tri cao, it lap lai"
20615,BLUE POLKADOT PASSPORT COVER,0,"Hang ban chay, gia thap, mua thuong xuyen"
20616,CHERRY BLOSSOM PASSPORT COVER,3,"Hang moi/it nguoi biet, doanh thu thap"
20617,FIRST CLASS PASSPORT COVER ,1,"Hang cao cap, gia tri cao, it lap lai"
20618,QUEEN OF THE SKIES PASSPORT COVER ,3,"Hang moi/it nguoi biet, doanh thu thap"
20619,TROPICAL PASSPORT COVER ,3,"Hang moi/it nguoi biet, doanh thu thap"
20622,VIPPASSPORT COVER ,2,"Hang theo mua, dot bien, so luong lon"
20652,BLUE POLKADOT LUGGAGE TAG ,2,"Hang theo mua, dot bien, so luong lon"
20653,CHERRY BLOSSOM LUGGAGE TAG,3,"Hang moi/it nguoi biet, doanh thu thap"
20654,FIRST CLASS LUGGAGE TAG ,2,"Hang theo mua, dot bien, so luong lon"
20655,QUEEN OF SKIES LUGGAGE TAG,3,"Hang moi/it nguoi biet, doanh thu thap"
20657,TROPICAL LUGGAGE TAG,1,"Hang cao cap, gia tri cao, it lap lai"
20658,RED RETROSPOT LUGGAGE TAG,2,"Hang theo mua, dot bien, so luong lon"
20659,ECONOMY LUGGAGE TAG,3,"Hang moi/it nguoi biet, doanh thu thap"
20661,BLUE POLKADOT PURSE ,3,"Hang moi/it nguoi biet, doanh thu thap"
20662,FIRST CLASS HOLIDAY PURSE ,3,"Hang moi/it nguoi biet, doanh thu thap"
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,3,"Hang moi/it nguoi biet, doanh thu thap"
20664,TROPICAL HOLIDAY PURSE ,3,"Hang moi/it nguoi biet, doanh thu thap"
20665,RED RETROSPOT PURSE ,0,"Hang ban chay, gia thap, mua thuong xuyen"
20666,ECONOMY HOLIDAY PURSE,3,"Hang moi/it nguoi biet, doanh thu thap"
20667,CHERRY BLOSSOM PURSE,3,"Hang moi/it nguoi biet, doanh thu thap"
20668,DISCO BALL CHRISTMAS DECORATION,4,"Hang trung binh, on dinh quanh nam"
20669,RED HEART LUGGAGE TAG,0,"Hang ban chay, gia thap, mua thuong xuyen"
20670,VIP HOLIDAY PURSE,1,"Hang cao cap, gia tri cao, it lap lai"
20674,GREEN POLKADOT BOWL,4,"Hang trung binh, on dinh quanh nam"
20675,BLUE POLKADOT BOWL,4,"Hang trung binh, on dinh quanh nam"
20676,RED RETROSPOT BOWL,4,"Hang trung binh, on dinh quanh nam"
20677,PINK POLKADOT BOWL,4,"Hang trung binh, on dinh quanh nam"
20679,EDWARDIAN PARASOL RED,0,"Hang ban chay, gia thap, mua thuong xuyen"
20681,PINK POLKADOT CHILDRENS UMBRELLA,0,"Hang ban chay, gia thap, mua thuong xuyen"
20682,RED RETROSPOT CHILDRENS UMBRELLA,0,"Hang ban chay, gia thap, mua thuong xuyen"
20684,STRAWBERRY DREAM CHILDS UMBRELLA,1,"Hang cao cap, gia tri cao, it lap lai"
20685,DOORMAT RED RETROSPOT,4,"Hang trung binh, on dinh quanh nam"
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,0,"Hang ban chay, gia thap, mua thuong xuyen"
20694,FLORAL PINK MONSTER,1,"Hang cao cap, gia tri cao, it lap lai"
20696,FLORAL SOFT CAR TOY,3,"Hang moi/it nguoi biet, doanh thu thap"
20697,LITTLE GREEN MONSTER SOFT TOY,1,"Hang cao cap, gia tri cao, it lap lai"
20698,LITTLE PINK MONSTER SOFT TOY,1,"Hang cao cap, gia tri cao, it lap lai"
20699,MOUSEY LONG LEGS SOFT TOY,3,"Hang moi/it nguoi biet, doanh thu thap"
20700,GREEN CAT FLORAL CUSHION COVER ,3,"Hang moi/it nguoi biet, doanh thu thap"
20701,PINK CAT FLORAL CUSHION COVER ,3,"Hang moi/it nguoi biet, doanh thu thap"
20702,PINK PADDED MOBILE,0,"Hang ban chay, gia thap, mua thuong xuyen"
20704,MR ROBOT SOFT TOY,0,"Hang ban chay, gia thap, mua thuong xuyen"
20705,MRS ROBOT SOFT TOY,0,"Hang ban chay, gia thap, mua thuong xuyen"
20707,CRAZY DAISY HEART DECORATION,3,"Hang moi/it nguoi biet, doanh thu thap"
20711,JUMBO BAG TOYS ,4,"Hang trung binh, on dinh quanh nam"
20712,JUMBO BAG WOODLAND ANIMALS,4,"Hang trung binh, on dinh quanh nam"
20713,JUMBO BAG OWLS,4,"Hang trung binh, on dinh quanh nam"
20716,PARTY FOOD SHOPPER BAG,2,"Hang theo mua, dot bien, so luong lon"
20717,STRAWBERRY SHOPPER BAG,4,"Hang trung binh, on dinh quanh nam"
20718,RED RETROSPOT SHOPPER BAG,4,"Hang trung binh, on dinh quanh nam"
20719,WOODLAND CHARLOTTE BAG,4,"Hang trung binh, on dinh quanh nam"
20723,STRAWBERRY CHARLOTTE BAG,4,"Hang trung binh, on dinh quanh nam"
20724,RED RETROSPOT CHARLOTTE BAG,4,"Hang trung binh, on dinh quanh nam"
20725,LUNCH BAG RED RETROSPOT,4,"Hang trung binh, on dinh quanh nam"
20726,LUNCH BAG WOODLAND,4,"Hang trung binh, on dinh quanh nam"
20727,LUNCH BAG  BLACK SKULL.,4,"Hang trung binh, on dinh quanh nam"
20728,LUNCH BAG CARS BLUE,4,"Hang trung binh, on dinh quanh nam"
20731,POSY CANDY BAG,2,"Hang theo mua, dot bien, so luong lon"
20733,GOLD MINI TAPE MEASURE ,2,"Hang theo mua, dot bien, so luong lon"
20734,SILVER MINI TAPE MEASURE ,1,"Hang cao cap, gia tri cao, it lap lai"
20735,BLACK MINI TAPE MEASURE ,3,"Hang moi/it nguoi biet, doanh thu thap"
20748,KENSINGTON COFFEE SET,0,"Hang ban chay, gia thap, mua thuong xuyen"
20749,ASSORTED COLOUR MINI CASES,0,"Hang ban chay, gia thap, mua thuong xuyen"
20750,RED RETROSPOT MINI CASES,0,"Hang ban chay, gia thap, mua thuong xuyen"
20751,FUNKY WASHING UP GLOVES ASSORTED,0,"Hang ban chay, gia thap, mua thuong xuyen"
20752,BLUE POLKADOT WASHING UP GLOVES,0,"Hang ban chay, gia thap, mua thuong xuyen"
20754,RETROSPOT RED WASHING UP GLOVES,4,"Hang trung binh, on dinh quanh nam"
20755,BLUE PAISLEY POCKET BOOK,2,"Hang theo mua, dot bien, so luong lon"
20756,GREEN FERN POCKET BOOK,1,"Hang cao cap, gia tri cao, it lap lai"
20757,RED DAISY POCKET BOOK ,2,"Hang theo mua, dot bien, so luong lon"
20758,ABSTRACT CIRCLES POCKET BOOK,2,"Hang theo mua, dot bien, so luong lon"
20759,CHRYSANTHEMUM POCKET BOOK ,1,"Hang cao cap, gia tri cao, it lap lai"
20760,GARDEN PATH POCKET BOOK,1,"Hang cao cap, gia tri cao, it lap lai"
20761,BLUE PAISLEY SKETCHBOOK,0,"Hang ban chay, gia thap, mua thuong xuyen"
20762,GREEN FERN SKETCHBOOK ,0,"Hang ban chay, gia thap, mua thuong xuyen"
20763,DAISY SKETCHBOOK ,1,"Hang cao cap, gia tri cao, it lap lai"
20764,ABSTRACT CIRCLES SKETCHBOOK ,0,"Hang ban chay, gia thap, mua thuong xuyen"
20765,CHRYSANTHEMUM SKETCHBOOK ,0,"Hang ban chay, gia thap, mua thuong xuyen"
20766,GARDEN PATH SKETCHBOOK,0,"Hang ban chay, gia thap, mua thuong xuyen"
20767,BLUE PAISLEY JOURNAL ,0,"Hang ban chay, gia thap, mua thuong xuyen"
20768,GREEN FERN JOURNAL ,0,"Hang ban chay, gia thap, mua thuong xuyen"
20769,DAISY JOURNAL ,1,"Hang cao cap, gia tri cao, it lap lai"
20770,ABSTRACT CIRCLE JOURNAL ,0,"Hang ban chay, gia thap, mua thuong xuyen"
20771,CHRYSANTHEMUM  JOURNAL,1,"Hang cao cap, gia tri cao, it lap lai"
20772,GARDEN PATH JOURNAL,0,"Hang ban chay, gia thap, mua thuong xuyen"
20773,BLUE PAISLEY NOTEBOOK,1,"Hang cao cap, gia tri cao, it lap lai"
20774,GREEN FERN NOTEBOOK,1,"Hang cao cap, gia tri cao, it lap lai"
20775,DAISY NOTEBOOK ,3,"Hang moi/it nguoi biet, doanh thu thap"
20777,CHRYSANTHEMUM NOTEBOOK,0,"Hang ban chay, gia thap, mua thuong xuyen"
20778,GARDEN PATH NOTEBOOK ,1,"Hang cao cap, gia tri cao, it lap lai"
20780,BLACK EAR MUFF HEADPHONES,1,"Hang cao cap, gia tri cao, it lap lai"
20781,GOLD EAR MUFF HEADPHONES,1,"Hang cao cap, gia tri cao, it lap lai"
20782,CAMOUFLAGE EAR MUFF HEADPHONES,1,"Hang cao cap, gia tri cao, it lap lai"
20785,FUSCHIA RETRO BAR STOOL,1,"Hang cao cap, gia tri cao, it lap lai"
20794,BLUE  TILE HOOK,1,"Hang cao cap, gia tri cao, it lap lai"
20795,LARGE BLUE PROVENCAL CERAMIC BALL,1,"Hang cao cap, gia tri cao, it lap lai"
20796,SMALL BLUE PROVENCAL CERAMIC BALL,1,"Hang cao cap, gia tri cao, it lap lai"
20798,CLEAR MILKSHAKE GLASS,1,"Hang cao cap, gia tri cao, it lap lai"
20801,LARGE PINK GLASS SUNDAE DISH,2,"Hang theo mua, dot bien, so luong lon"
20802,SMALL GLASS SUNDAE DISH CLEAR,2,"Hang theo mua, dot bien, so luong lon"
20803,SMALL PINK GLASS SUNDAE DISH,2,"Hang theo mua, dot bien, so luong lon"
20818,GOLD TEDDY BEAR,1,"Hang cao cap, gia tri cao, it lap lai"
20819,SILVER TEDDY BEAR,1,"Hang cao cap, gia tri cao, it lap lai"
20821,GOLDIE LOOKING MIRROR,1,"Hang cao cap, gia tri cao, it lap lai"
20823,GOLD WINE GOBLET,2,"Hang theo mua, dot bien, so luong lon"
20826,SILVER APERITIF GLASS,2,"Hang theo mua, dot bien, so luong lon"
20828,GLITTER BUTTERFLY CLIPS,0,"Hang ban chay, gia thap, mua thuong xuyen"
20829,GLITTER HANGING BUTTERFLY STRING,4,"Hang trung binh, on dinh quanh nam"
20830,SILVER PHOTO FRAME,1,"Hang cao cap, gia tri cao, it lap lai"
20831,GOLD PHOTO FRAME,2,"Hang theo mua, dot bien, so luong lon"
20832,RED FLOCK LOVE HEART PHOTO FRAME,2,"Hang theo mua, dot bien, so luong lon"
20835,FRENCH LATTICE CUSHION COVER ,1,"Hang cao cap, gia tri cao, it lap lai"
20836,FRENCH PAISLEY CUSHION COVER,2,"Hang theo mua, dot bien, so luong lon"
20837,FRENCH FLORAL CUSHION COVER ,2,"Hang theo mua, dot bien, so luong lon"
20838,FRENCH LATTICE CUSHION COVER ,2,"Hang theo mua, dot bien, so luong lon"
20839,FRENCH PAISLEY CUSHION COVER ,0,"Hang ban chay, gia thap, mua thuong xuyen"
20840,FRENCH FLORAL CUSHION COVER ,2,"Hang theo mua, dot bien, so luong lon"
20845,ZINC HEART LATTICE 2 WALL PLANTER,1,"Hang cao cap, gia tri cao, it lap lai"
20846,ZINC HEART LATTICE T-LIGHT HOLDER,2,"Hang theo mua, dot bien, so luong lon"
20847,ZINC HEART LATTICE CHARGER LARGE,1,"Hang cao cap, gia tri cao, it lap lai"
20848,ZINC HEART LATTICE CHARGER SMALL,1,"Hang cao cap, gia tri cao, it lap lai"
20851,ZINC HEART LATTICE TRAY OVAL ,1,"Hang cao cap, gia tri cao, it lap lai"
20854,BLUE PATCH PURSE PINK HEART,2,"Hang theo mua, dot bien, so luong lon"
20856,DENIM PATCH PURSE PINK BUTTERFLY,2,"Hang theo mua, dot bien, so luong lon"
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,1,"Hang cao cap, gia tri cao, it lap lai"
20866,BLUE ROSE FABRIC MIRROR,2,"Hang theo mua, dot bien, so luong lon"
20867,PINK ROSE FABRIC MIRROR,2,"Hang theo mua, dot bien, so luong lon"
20868,SILVER FABRIC MIRROR,2,"Hang theo mua, dot bien, so luong lon"
20869,GOLD FABRIC MIRROR,2,"Hang theo mua, dot bien, so luong lon"
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,1,"Hang cao cap, gia tri cao, it lap lai"
20886,BOX OF 9 PEBBLE CANDLES,0,"Hang ban chay, gia thap, mua thuong xuyen"
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,2,"Hang theo mua, dot bien, so luong lon"
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,1,"Hang cao cap, gia tri cao, it lap lai"
20897,VINTAGE NOTEBOOK PARIS DAYS,2,"Hang theo mua, dot bien, so luong lon"
20898,VINTAGE NOTEBOOK TRAVELOGUE,3,"Hang moi/it nguoi biet, doanh thu thap"
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,3,"Hang moi/it nguoi biet, doanh thu thap"
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,3,"Hang moi/it nguoi biet, doanh thu thap"
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,3,"Hang moi/it nguoi biet, doanh thu thap"
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,4,"Hang trung binh, on dinh quanh nam"
20931,BLUE POT PLANT CANDLE ,0,"Hang ban chay, gia thap, mua thuong xuyen"
20932,PINK POT PLANT CANDLE,0,"Hang ban chay, gia thap, mua thuong xuyen"
20933,YELLOW POT PLANT CANDLE,1,"Hang cao cap, gia tri cao, it lap lai"
20934,SET/3 POT PLANT CANDLES,1,"Hang cao cap, gia tri cao, it lap lai"
20936,FORKED CACTUS CANDLE,1,"Hang cao cap, gia tri cao, it lap lai"
20941,FROG CANDLE,1,"Hang cao cap, gia tri cao, it lap lai"
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,2,"Hang theo mua, dot bien, so luong lon"
20960,WATERMELON BATH SPONGE,1,"Hang cao cap, gia tri cao, it lap lai"
20961,STRAWBERRY BATH SPONGE ,4,"Hang trung binh, on dinh quanh nam"
20963,APPLE BATH SPONGE,4,"Hang trung binh, on dinh quanh nam"
20966,SANDWICH BATH SPONGE,2,"Hang theo mua, dot bien, so luong lon"
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,0,"Hang ban chay, gia thap, mua thuong xuyen"
20969,RED FLORAL FELTCRAFT SHOULDER BAG,4,"Hang trung binh, on dinh quanh nam"
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,0,"Hang ban chay, gia thap, mua thuong xuyen"
20971,PINK BLUE FELT CRAFT TRINKET BOX,4,"Hang trung binh, on dinh quanh nam"
20972,PINK CREAM FELT CRAFT TRINKET BOX ,4,"Hang trung binh, on dinh quanh nam"
20973,12 PENCIL SMALL TUBE WOODLAND,4,"Hang trung binh, on dinh quanh nam"
20974,12 PENCILS SMALL TUBE SKULL,4,"Hang trung binh, on dinh quanh nam"
20975,12 PENCILS SMALL TUBE RED RETROSPOT,4,"Hang trung binh, on dinh quanh nam"
20977,36 PENCILS TUBE WOODLAND,4,"Hang trung binh, on dinh quanh nam"
20978,36 PENCILS TUBE SKULLS,4,"Hang trung binh, on dinh quanh nam"
20979,36 PENCILS TUBE RED RETROSPOT,4,"Hang trung binh, on dinh quanh nam"
20980,36 PENCILS TUBE POSY,1,"Hang cao cap, gia tri cao, it lap lai"
20981,12 PENCILS TALL TUBE WOODLAND,4,"Hang trung binh, on dinh quanh nam"
20982,12 PENCILS TALL TUBE SKULLS,4,"Hang trung binh, on dinh quanh nam"
20983,12 PENCILS TALL TUBE RED RETROSPOT,4,"Hang trung binh, on dinh quanh nam"
20984,12 PENCILS TALL TUBE POSY,4,"Hang trung binh, on dinh quanh nam"
20985,HEART CALCULATOR,4,"Hang trung binh, on dinh quanh nam"
20986,BLUE CALCULATOR RULER,2,"Hang theo mua, dot bien, so luong lon"
20992,JAZZ HEARTS PURSE NOTEBOOK,4,"Hang trung binh, on dinh quanh nam"
20996,JAZZ HEARTS ADDRESS BOOK,4,"Hang trung binh, on dinh quanh nam"
20997,ROSE DU SUD CUSHION COVER ,3,"Hang moi/it nguoi biet, doanh thu thap"
20998,ROSE DU SUD OVEN GLOVE,0,"Hang ban chay, gia thap, mua thuong xuyen"
21000,ROSE DU SUD COSMETICS BAG,3,"Hang moi/it nguoi biet, doanh thu thap"
21001,ROSE DU SUD WASHBAG ,3,"Hang moi/it nguoi biet, doanh thu thap"
21002,ROSE DU SUD DRAWSTRING BAG,3,"Hang moi/it nguoi biet, doanh thu thap"
21003,ROSE DU SUD CUSHION COVER,3,"Hang moi/it nguoi biet, doanh thu thap"
21012,ANTIQUE ALL GLASS CANDLESTICK,0,"Hang ban chay, gia thap, mua thuong xuyen"
21014,SWISS CHALET TREE DECORATION ,2,"Hang theo mua, dot bien, so luong lon"
21015,DARK BIRD HOUSE TREE DECORATION,2,"Hang theo mua, dot bien, so luong lon"
21018,BIRD BOX CHRISTMAS TREE DECORATION,1,"Hang cao cap, gia tri cao, it lap lai"
21025,SPACE FROG,3,"Hang moi/it nguoi biet, doanh thu thap"
21026,SPACE OWL,2,"Hang theo mua, dot bien, so luong lon"
21027,NINJA RABBIT PINK,2,"Hang theo mua, dot bien, so luong lon"
21028,NINJA RABBIT BLACK,3,"Hang moi/it nguoi biet, doanh thu thap"
21030,SPACE CADET RED,2,"Hang theo mua, dot bien, so luong lon"
21031,SPACE CADET BLACK,1,"Hang cao cap, gia tri cao, it lap lai"
21032,SPACE CADET WHITE,1,"Hang cao cap, gia tri cao, it lap lai"
21033,JUMBO BAG CHARLIE AND LOLA TOYS,4,"Hang trung binh, on dinh quanh nam"
21034,REX CASH+CARRY JUMBO SHOPPER,4,"Hang trung binh, on dinh quanh nam"
21035,SET/2 RED RETROSPOT TEA TOWELS ,4,"Hang trung binh, on dinh quanh nam"
21038,SET/4 MODERN VINTAGE COTTON NAPKINS,1,"Hang cao cap, gia tri cao, it lap lai"
21039,RED RETROSPOT SHOPPING BAG,0,"Hang ban chay, gia thap, mua thuong xuyen"
21040,MODERN VINTAGE COTTON SHOPPING BAG,1,"Hang cao cap, gia tri cao, it lap lai"
21041,RED RETROSPOT OVEN GLOVE DOUBLE,0,"Hang ban chay, gia thap, mua thuong xuyen"
21042,RED RETROSPOT APRON ,0,"Hang ban chay, gia thap, mua thuong xuyen"
21043,APRON MODERN VINTAGE COTTON,0,"Hang ban chay, gia thap, mua thuong xuyen"
21051,RIBBONS PURSE ,2,"Hang theo mua, dot bien, so luong lon"
21054,NURSE'S BAG SOFT TOY,0,"Hang ban chay, gia thap, mua thuong xuyen"
21055,TOOL BOX SOFT TOY ,0,"Hang ban chay, gia thap, mua thuong xuyen"
21056,DOCTOR'S BAG SOFT TOY,0,"Hang ban chay, gia thap, mua thuong xuyen"
21058,PARTY INVITES WOODLAND,2,"Hang theo mua, dot bien, so luong lon"
21059,PARTY INVITES DINOSAURS,2,"Hang theo mua, dot bien, so luong lon"
